Zip,state,Subregion annual CO2e output emission rate (lb/kWh)
3224,NH,0.727603
3225,NH,0.727603
3226,NH,0.727603
3227,NH,0.727603
3229,NH,0.727603
3230,NH,0.727603
3231,NH,0.727603
3233,NH,0.727603
3234,NH,0.727603
3235,NH,0.727603
3237,NH,0.727603
3238,NH,0.727603
3240,NH,0.727603
3241,NH,0.727603
3242,NH,0.727603
3243,NH,0.727603
3244,NH,0.727603
3245,NH,0.727603
3246,NH,0.727603
3247,NH,0.727603
3249,NH,0.727603
3251,NH,0.727603
3252,NH,0.727603
3253,NH,0.727603
3254,NH,0.727603
3255,NH,0.727603
3256,NH,0.727603
3257,NH,0.727603
3258,NH,0.727603
3259,NH,0.727603
3260,NH,0.727603
3261,NH,0.727603
3262,NH,0.727603
3263,NH,0.727603
3264,NH,0.727603
3266,NH,0.727603
3268,NH,0.727603
3269,NH,0.727603
3272,NH,0.727603
3273,NH,0.727603
3274,NH,0.727603
3275,NH,0.727603
3276,NH,0.727603
3278,NH,0.727603
3279,NH,0.727603
3280,NH,0.727603
3281,NH,0.727603
3282,NH,0.727603
3284,NH,0.727603
3285,NH,0.727603
3287,NH,0.727603
3289,NH,0.727603
3290,NH,0.727603
3291,NH,0.727603
3293,NH,0.727603
3298,NH,0.727603
3299,NH,0.727603
3301,NH,0.727603
3302,NH,0.727603
3303,NH,0.727603
3304,NH,0.727603
3305,NH,0.727603
3307,NH,0.727603
3431,NH,0.727603
3435,NH,0.727603
3440,NH,0.727603
3441,NH,0.727603
3442,NH,0.727603
3443,NH,0.727603
3444,NH,0.727603
3445,NH,0.727603
3446,NH,0.727603
3447,NH,0.727603
3448,NH,0.727603
3449,NH,0.727603
3450,NH,0.727603
3451,NH,0.727603
3452,NH,0.727603
3455,NH,0.727603
3456,NH,0.727603
3457,NH,0.727603
3458,NH,0.727603
3461,NH,0.727603
3462,NH,0.727603
3464,NH,0.727603
3465,NH,0.727603
3466,NH,0.727603
3467,NH,0.727603
3468,NH,0.727603
3469,NH,0.727603
3470,NH,0.727603
3561,NH,0.727603
3570,NH,0.727603
3574,NH,0.727603
3575,NH,0.727603
3576,NH,0.727603
3579,NH,0.727603
3580,NH,0.727603
3581,NH,0.727603
3582,NH,0.727603
3583,NH,0.727603
3584,NH,0.727603
3585,NH,0.727603
3586,NH,0.727603
3588,NH,0.727603
3589,NH,0.727603
3590,NH,0.727603
3592,NH,0.727603
3593,NH,0.727603
3595,NH,0.727603
3597,NH,0.727603
3598,NH,0.727603
3601,NH,0.727603
3602,NH,0.727603
3603,NH,0.727603
3604,NH,0.727603
3605,NH,0.727603
3607,NH,0.727603
3608,NH,0.727603
3609,NH,0.727603
3740,NH,0.727603
3741,NH,0.727603
3743,NH,0.727603
3745,NH,0.727603
3746,NH,0.727603
3748,NH,0.727603
3749,NH,0.727603
3750,NH,0.727603
3751,NH,0.727603
3752,NH,0.727603
3753,NH,0.727603
3754,NH,0.727603
3755,NH,0.727603
3756,NH,0.727603
3765,NH,0.727603
3766,NH,0.727603
3768,NH,0.727603
3769,NH,0.727603
3770,NH,0.727603
3771,NH,0.727603
3773,NH,0.727603
3774,NH,0.727603
3777,NH,0.727603
3779,NH,0.727603
3780,NH,0.727603
3781,NH,0.727603
3782,NH,0.727603
3784,NH,0.727603
3785,NH,0.727603
3801,NH,0.727603
3802,NH,0.727603
3803,NH,0.727603
3804,ME,0.727603
3805,NH,0.727603
3809,NH,0.727603
3810,NH,0.727603
3811,NH,0.727603
3812,NH,0.727603
3813,NH,0.727603
3814,NH,0.727603
3815,NH,0.727603
3816,NH,0.727603
3817,NH,0.727603
3818,NH,0.727603
